game_id,player_a,player_b,first_mover,result,num_moves,avg_move_time_a,avg_move_time_b,error
game_03921,gemini_t5,opus47_t1,gemini_t5,player_b_win,22,1.503,2.249,
game_03922,gemini_t5,opus47_t1,gemini_t5,player_b_win,22,1.503,2.239,
game_03923,opus47_t1,gemini_t5,opus47_t1,player_a_win,31,2.222,1.476,
game_03924,opus47_t1,gemini_t5,opus47_t1,player_a_win,31,2.216,1.469,
game_03925,gemini_t5,opus47_t2,gemini_t5,player_b_win,34,1.438,1.331,
game_03926,gemini_t5,opus47_t2,gemini_t5,player_b_win,34,1.432,1.331,
game_03927,opus47_t2,gemini_t5,opus47_t2,player_a_win,31,1.440,1.436,
game_03928,opus47_t2,gemini_t5,opus47_t2,player_a_win,31,1.452,1.436,
game_03929,gemini_t5,opus47_t3,gemini_t5,player_b_win,38,1.429,1.539,
game_03930,gemini_t5,opus47_t3,gemini_t5,player_b_win,38,1.424,1.528,
game_03931,opus47_t3,gemini_t5,opus47_t3,player_a_win,29,1.582,1.482,
game_03932,opus47_t3,gemini_t5,opus47_t3,player_a_win,29,1.569,1.488,
game_03933,gemini_t5,opus47_t4,gemini_t5,player_b_win,14,1.532,1.130,
game_03934,gemini_t5,opus47_t4,gemini_t5,player_b_win,14,1.531,1.102,
game_03935,opus47_t4,gemini_t5,opus47_t4,player_a_win,39,1.052,1.424,
game_03936,opus47_t4,gemini_t5,opus47_t4,player_a_win,39,1.042,1.413,
game_03937,gemini_t5,opus47_t5,gemini_t5,player_b_win,32,1.384,1.740,
game_03938,gemini_t5,opus47_t5,gemini_t5,player_b_win,32,1.384,1.746,
game_03939,opus47_t5,gemini_t5,opus47_t5,player_a_win,35,1.702,1.409,
game_03940,opus47_t5,gemini_t5,opus47_t5,player_a_win,35,1.697,1.403,
game_03941,gemini_t5,opus47_t6,gemini_t5,player_b_win,30,1.463,2.103,
game_03942,gemini_t5,opus47_t6,gemini_t5,player_b_win,30,1.449,2.096,
game_03943,opus47_t6,gemini_t5,opus47_t6,player_a_win,33,2.091,1.434,
game_03944,opus47_t6,gemini_t5,opus47_t6,player_a_win,33,2.079,1.440,
game_03945,gemini_t5,opus47_t7,gemini_t5,player_b_win,40,1.368,2.168,
game_03946,gemini_t5,opus47_t7,gemini_t5,player_b_win,40,1.358,2.168,
game_03947,opus47_t7,gemini_t5,opus47_t7,player_b_win,40,2.198,1.358,
game_03948,opus47_t7,gemini_t5,opus47_t7,player_b_win,40,2.203,1.363,
game_03949,gemini_t5,opus47_t8,gemini_t5,player_b_win,32,1.396,1.171,
game_03950,gemini_t5,opus47_t8,gemini_t5,player_b_win,32,1.403,1.196,
game_03951,opus47_t8,gemini_t5,opus47_t8,player_a_win,39,1.187,1.413,
game_03952,opus47_t8,gemini_t5,opus47_t8,player_a_win,39,1.192,1.403,
game_03953,gemini_t6,opus47_t1,gemini_t6,player_b_win,38,1.050,2.156,
game_03954,gemini_t6,opus47_t1,gemini_t6,player_b_win,38,1.055,2.172,
game_03955,opus47_t1,gemini_t6,opus47_t1,player_a_win,11,2.236,1.102,
game_03956,opus47_t1,gemini_t6,opus47_t1,player_a_win,11,2.237,1.102,
game_03957,gemini_t6,opus47_t2,gemini_t6,player_b_win,12,1.102,1.602,
game_03958,gemini_t6,opus47_t2,gemini_t6,player_b_win,12,1.102,1.619,
game_03959,opus47_t2,gemini_t6,opus47_t2,player_a_win,9,1.442,1.103,
game_03960,opus47_t2,gemini_t6,opus47_t2,player_a_win,9,1.462,1.102,
game_03961,gemini_t6,opus47_t3,gemini_t6,player_b_win,32,1.078,1.527,
game_03962,gemini_t6,opus47_t3,gemini_t6,player_b_win,32,1.077,1.540,
game_03963,opus47_t3,gemini_t6,opus47_t3,player_a_win,15,1.590,1.102,
game_03964,opus47_t3,gemini_t6,opus47_t3,player_a_win,15,1.590,1.102,
game_03965,gemini_t6,opus47_t4,gemini_t6,player_b_win,20,1.103,1.152,
game_03966,gemini_t6,opus47_t4,gemini_t6,player_b_win,20,1.102,1.162,
game_03967,opus47_t4,gemini_t6,opus47_t4,player_a_win,19,1.112,1.102,
game_03968,opus47_t4,gemini_t6,opus47_t4,player_a_win,19,1.122,1.103,
game_03969,gemini_t6,opus47_t5,gemini_t6,player_b_win,26,1.095,1.833,
game_03970,gemini_t6,opus47_t5,gemini_t6,player_b_win,26,1.095,1.849,
game_03971,opus47_t5,gemini_t6,opus47_t5,player_a_win,9,1.742,1.102,
game_03972,opus47_t5,gemini_t6,opus47_t5,player_a_win,9,1.762,1.102,
game_03973,gemini_t6,opus47_t6,gemini_t6,player_b_win,18,1.102,2.169,
game_03974,gemini_t6,opus47_t6,gemini_t6,player_b_win,18,1.102,2.170,
game_03975,opus47_t6,gemini_t6,opus47_t6,player_a_win,9,2.083,1.102,
game_03976,opus47_t6,gemini_t6,opus47_t6,player_a_win,9,2.103,1.103,
game_03977,gemini_t6,opus47_t7,gemini_t6,player_b_win,12,1.102,2.436,
game_03978,gemini_t6,opus47_t7,gemini_t6,player_b_win,12,1.103,2.437,
game_03979,opus47_t7,gemini_t6,opus47_t7,player_a_win,11,2.486,1.102,
game_03980,opus47_t7,gemini_t6,opus47_t7,player_a_win,11,2.453,1.102,
game_03981,gemini_t6,opus47_t8,gemini_t6,player_b_win,26,1.095,1.248,
game_03982,gemini_t6,opus47_t8,gemini_t6,player_b_win,26,1.095,1.240,
game_03983,opus47_t8,gemini_t6,opus47_t8,player_a_win,11,1.202,1.102,
game_03984,opus47_t8,gemini_t6,opus47_t8,player_a_win,11,1.202,1.103,
game_03985,gemini_t7,opus47_t1,gemini_t7,player_b_win,28,1.173,2.196,
